Composition,Structure,Str1,stable structure,elem,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,Possion_exp,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx,FT_Thomson_exp,FT_Thomson_dft,FT_Rice_92_exp,FT_Rice_92_dft,FT_Niu_exp,FT_Niu_dft,FT_Mazhnik_exp,FT_Mazhnik_dft,FT_Rice_68_exp,FT_Rice_68_dft,Fracture_toughness
Ti40 Nb1 Al5 Si15,unknown_structure,0,0,0,0.382803633,1.725409836,5.176029115,19.60655738,4.058196721,3.426393443,10.04918033,3.68852459,7.213114754,57.44262295,42.03213115,144.8196721,402.295082,5.118278689,14.68688525,29.47213115,192.7377049,1.635245902,427.9508197,1.427868852,23693.16656,3266.393443,1812.459016,12615.30934,455365.9508,4.720819672,388.7704918,0.711311475,2.920327869,27.68393443,0.442163934,95.08196721,105.7377049,42.40163934,4.453278689,0.322905641,1.983606557,0.573770492,0,3.93442623,0,1.393442623,0,6.754098361,2.964262295,104.2268131,37.93556066,101.3324528,16.59054297,158.6675234,77.00701858,36.82496219,2.823618652,0.755700942,637.4152588,0.338683417,1.192438583,7.35252761,1.67424094,5.229407236,0.739491881,205.2295082,0,0,1.552295082,154.7932395,83.12109918,37.42270963,73.94997828,166.416091,35.69833494,20.78944314,19.89732424,6.924202325,6.627070186,106.9341357,100.4206626,8.849057058,9.355808922,10.30291335,10.69869062,16.4
Ni1 Al1,unknown_structure,0,0,0,0.21874551,1.42,4.0262355,20.5,4.7,4.03,8.3,3.5,11.5,70,42.835,122.5,335.5,6.805,18.485,32.3,173.5,1.76,310.5,1.235,25225.47,2865.5,1330.5,14151.385,369066.5,3.915,439,1.64,2.54,29.05,0.795,135,128,51,4.715,0.330695879,2,0.5,0,6.5,0,2.5,0,3.5,2.14,136.436665,57.656753,151.1697739,13.74925,188.2397,110.53455,75.8549375,2.687856398,1.639811341,694.8624288,0.329128964,0.707106781,6.488664544,1.631223075,11.06891856,0.7404805,225,0,0,1.195,188.2397,110.53455,75.8549375,110.53455,188.2397,63.52081667,20.80403168,22.09427409,5.773749127,6.13183049,125.0556279,137.2789049,10.34175973,10.91763828,12.31163492,13.0205521,6.5
V1,unknown_structure,0,0,0,0.607591997,2.47,5.156981,23,4.25,4.41,8.36,4,5,50,50.94,153,453,6.74,14.2,29.7,179,1.63,497,0.84,24743.99,3665,2202,17584.56,514558,5.31,380,0.31,0.5,30.89,0.528,128,160,47,4.3,0.366223909,2,0,3,5,0,0,7,7,3.3,187.19,30.416027,86.55978775,13.453199,272.033,144.76925,17.63185,6.154321207,0.753625637,409.192864,0.422930545,1.224744871,5.928819841,2.48079044,0.803049224,0.68017476,229,0,0,2.63,272.033,144.76925,17.63185,144.76925,272.033,32.96519167,27.06820615,22.82000163,9.492968143,8.003099552,133.7354412,116.367086,10.55883312,9.331043451,12.15839136,10.26720413,3.64
Be22.5 Zr41.2 Ti13.8 Ni10 Cu12.5,unknown_structure,0,0,0,0.400140416,1.7428,5.811576232,26.841,4.1583,3.61998,9.88054,3.962,5.025,43.138,60.0287,144.68,439.735,7.17006,15.6442,56.93692,170.663,1.54223,241.942,1.2409,23194.28482,3691.522,1839.284,17612.01786,474619.568,4.87155,589.727,1.16737,1.70162,29.64277,0.346584,144.849,120.4708,62.968,4.46539,0.290426029,1.875,0,0,5.025,0,0,0,0,2.47014,120.4073383,70.73225925,168.008668,16.42090391,212.0859118,74.56596934,75.55018141,2.302425517,2.262293399,882.1353201,0.270920057,1.132326894,12.84156257,1.480463838,65.27319434,0.7404805,200.975,0,0,1.71015,203.6195359,76.69126453,75.01731207,73.50332175,229.0186636,72.23199195,24.87223904,26.00608399,8.42718095,8.811348878,138.8567587,147.1300626,10.34050373,10.75604474,12.57744293,13.46539669,55
Ti27 Nb41 Cr8 Al9 Si15,unknown_structure,0,0,0,0.553428004,1.9577,6.5561074,27.94,4.1415,3.9202,10.053,4.17,6.88,55.77,61.8197,149.1,504.99,6.15625,14.8269,29.1774,198.54,1.6345,462.49,1.1016,23999.1738,3923.08,2160.58,17932.0647,549513.28,5.7408,360.07,0.7913,2.2359,30.4168,0.69804,110.04,134.04,45.585,4.4048,0.343972769,1.51,0.39,0,4.48,0,1.05,0,6.56,3.2782,132.4240667,33.20690821,90.38455447,16.7978165,196.1634818,100.551614,27.56928881,4.496817532,0.691428685,544.6986199,0.374881814,1.179321359,6.335870039,2.061310353,3.688918467,0.710930687,218.89,0,0,2.1069,194.4360019,103.633047,28.05498538,99.0108975,199.6184415,32.86575627,23.32668969,20.39558751,8.769919548,7.6679402,125.0941483,106.1222591,9.845689315,9.315434199,11.17169634,10.25494558,19.6
Ti8 Nb8 Al1 Si3,unknown_structure,0,0,0,0.466554121,1.891,5.44086715,27.95,4.055,3.81,10.342,4.2,6.35,54.15,61.8745,152.3,514.5,5.80535,14.38,28.937,198.3,1.6215,436.55,1.105,24168.301,3987.35,2178.1,18145.5915,559440.2,5.832,344.4,0.6445,2.0505,31.0325,0.62735,98.95,130.8,40.685,4.3935,0.351406748,1.6,0.35,0,4.35,0,0.85,0,6.85,3.22,132.113056,32.89330305,89.74566358,17.2735258,193.2050563,101.5646483,27.98751844,4.46306143,0.638216107,567.7035639,0.375104664,1.205038036,6.386061785,2.055141451,3.387426855,0.716358204,214.5,0,0,2.0935,190.8417431,105.2942375,28.35214438,99.69985375,197.9316825,32.43009531,21.78244907,19.95381133,7.650625787,7.008355352,117.2873564,105.9880197,9.480759133,9.328528311,10.62499281,10.21963105,16
Mo1 Si1,unknown_structure,0,0,0,0.868976982,2.145,11.7543015,28,4.675,4.465,9,4,10,66,62.015,132.5,479.5,7.64,16.03,31.53,209.5,2.03,224.5,1.35,21792.29,3995,2291,16140.115,551192,5.725,375,1.43,5.945,23.685,1.0685,188,165,81.95,4.725,0.293148848,1.5,1,0,5,0,2,0,5,4.225,173.19,72.1319375,189.7482344,15.278774,290.9059375,114.3279167,64.20724896,2.641368244,1.532839024,1132.801112,0.329055657,1.193931993,13.92898091,1.620947223,12.9743919,0.71032763,228,0,0,1.53,289.5495938,120.112125,66.66441875,111.4358125,293.618625,67.76818438,31.53945162,30.37135688,14.19481145,13.66909259,183.1742979,176.0651048,11.69421584,12.44719912,14.34137134,14.58727061,11.5
Mo1 Fe1 Co1 Ni1,unknown_structure,0,0,0,0.695051212,2.455,8.732777,30.75,4.97,5.455,7.4475,4.25,8.25,59.5,67.3525,134,425,7.63025,16.775,32.4725,189.5,1.945,1190.5,0.5775,24900.99,3630,2051,18966.205,482528.75,4.9825,453.75,1.0225,1.515,28.92,0.67975,237.25,190,88.25,4.8125,0.300503936,1.75,0,6.5,8.25,0.25,0,3.5,3.75,3.4825,217.95111,98.4747845,256.6848086,12.271283,350.0271058,151.9109817,103.0768463,2.219462289,2.704220459,1230.320367,0.303750208,1.098974095,17.35494386,1.489299124,20.24778063,0.71032763,219.25,0,0,2.285,346.00536,160.56254,102.5504588,147.5852025,358.0705975,100.3268842,35.1982007,37.26796888,13.24305308,14.02178748,196.6599025,222.4967769,12.82359681,13.41034766,16.14933477,16.81590901,30
Nb5 Si3,unknown_structure,0,0,0,0.51218664,1.86125,6.686780875,30.875,4.29375,4.02375,9.975,4.25,8.375,60.625,68.6025,144.125,565.875,7.355875,14.815,30.11,208.125,1.7125,340.125,1.2,22995.9975,4280.625,2351.375,18489.95625,616244.625,6.4675,284.375,0.8925,4.18125,29.7225,1.094375,83.25,143.75,40.2125,4.50625,0.363185845,1.375,0.75,0,4.625,0,1.5,0,5.875,3.7625,140.18375,25.66785,71.88974366,16.93925063,197.9617469,111.2895562,19.68154922,5.52590851,0.513202705,433.2486609,0.401659977,1.201635212,4.904825545,2.308882499,1.414580651,0.702789413,228.25,0,0,1.87875,196.9444891,115.6277125,21.52442656,109.1204781,199.9962625,24.21665911,21.68235916,17.87117347,8.042726567,6.629027803,121.8428819,96.13007519,8.811955132,8.611492863,9.7928304,9.258446136,21
Hf4 Ti26 Nb51 Cr2 Al2 Si15,unknown_structure,0,0,0,0.519567418,1.9709,5.97435857,32.35,4.0795,3.9483,10.4314,4.42,6.23,53.57,72.763,154.09,554.09,6.20175,14.3704,28.6952,201.63,1.6188,431.75,0.99,24159.4092,4185.21,2322.99,19751.2293,595551.35,6.2236,325.69,0.63,2.0135,32.0856,0.72523,100.86,139.42,41.425,4.3779,0.358479004,1.47,0.32,0,5.09,0,0.7,0,6.79,3.4102,140.1636112,32.17493956,88.09486607,17.50038444,204.697618,107.8931584,26.00891313,4.899319764,0.622757944,562.8994133,0.383172929,1.216819765,6.279407697,2.153331094,3.268621923,0.708518458,218.12,0,0,2.2435,202.8286821,110.9261801,26.43491181,106.3766475,208.4354898,32.08836085,22.56254636,20.27866904,8.191468646,7.3622932,122.4527086,108.2059413,9.688709675,9.361540214,10.75790189,10.1614421,13.5
